NO_OF_SAMPLES	24000
FREQUENCY	1200
TIME_STAMP	2020-01-28, 14:27:43.885	5208.83582520
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	353.011101
FORCE_PLATE_CORNER_POSX_POSY_Y	1295.030594
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.601500
FORCE_PLATE_CORNER_NEGX_POSY_X	747.085989
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.596434
FORCE_PLATE_CORNER_NEGX_POSY_Z	-2.692300
FORCE_PLATE_CORNER_NEGX_NEGY_X	746.431708
FORCE_PLATE_CORNER_NEGX_NEGY_Y	700.785577
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-2.136100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.357000
FORCE_PLATE_CORNER_POSX_NEGY_Y	701.219738
FORCE_PLATE_CORNER_POSX_NEGY_Z	-2.045300
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
77	0.06333	-3.596802	-4.744629	-13.350098	-2.444336	-2.225586	-1.599121	-166.709338	183.094986	0.000000	
78	0.06417	-3.684814	-4.384277	-12.626465	-2.545532	-2.089233	-1.617981	-165.464635	201.602924	0.000000	
79	0.06500	-3.685303	-4.564209	-13.350586	-2.672119	-2.264038	-1.487366	-169.583425	200.149952	0.000000	
80	0.06583	-3.143921	-3.937378	-13.724121	-2.606812	-2.139038	-1.468689	-155.859750	189.943786	0.000000	
81	0.06667	-3.057861	-4.388428	-12.996094	-2.412964	-1.890808	-1.599243	-145.490494	185.668395	0.000000	
82	0.06750	-3.324463	-4.116455	-13.357910	-2.555786	-2.110596	-1.599121	-158.003436	191.331286	0.000000	
83	0.06833	-3.679932	-3.933472	-14.807129	-2.386719	-2.333374	-1.542908	-157.584501	161.187139	0.000000	
84	0.06917	-3.059448	-4.388672	-11.544922	-2.500366	-1.996643	-1.543579	-172.945568	216.577144	0.000000	
85	0.07000	-2.876343	-3.759644	-11.551270	-2.611816	-2.130249	-1.525085	-184.416874	226.106438	0.000000	
86	0.07083	-3.415649	-4.385986	-13.354980	-2.369019	-2.183838	-1.599121	-163.522358	177.388395	0.000000	
87	0.07167	-2.786621	-4.119873	-14.089355	-2.600220	-2.020630	-1.561768	-143.415353	184.552071	0.000000	
88	0.07250	-3.325684	-4.386230	-13.718750	-2.546143	-2.110352	-1.543152	-153.829727	185.595814	0.000000	
89	0.07333	-3.501343	-3.844849	-13.721191	-2.521851	-2.257324	-1.487305	-164.513718	183.792392	0.000000	
90	0.07417	-3.056274	-3.938354	-11.910645	-2.472900	-1.996643	-1.636658	-167.635182	207.621039	0.000000	
